Iteration,Mean,Stdev,Run-0
0,3.0745165366372003E-9,0.0,3.0745165366372003E-9
1,3.0745165366372003E-9,0.0,3.0745165366372003E-9
2,3.0745165366372003E-9,0.0,3.0745165366372003E-9
3,3.0745165366372003E-9,0.0,3.0745165366372003E-9
4,3.0745165366372003E-9,0.0,3.0745165366372003E-9
5,3.0745165366372003E-9,0.0,3.0745165366372003E-9
6,3.0745165366372003E-9,0.0,3.0745165366372003E-9
7,3.0745165366372003E-9,0.0,3.0745165366372003E-9
8,3.0745165366372003E-9,0.0,3.0745165366372003E-9
9,3.0745165366372003E-9,0.0,3.0745165366372003E-9
