14674,15038,103583,5
14826,14861,103559,4
14072,14672,101519,5
15353,14936,101516,2
13719,14598,103581,5
13906,15004,103580,5
15171,14599,101517,2
14002,14327,118706,1
13960,15463,31347,1
13951,14558,84181,3
13471,15501,82984,1
13852,15176,82395,10
15130,14704,80598,5
14720,15408,80738,9
14181,15271,81540,8
15360,14458,80990,1
14117,14677,82241,9
14011,14393,80705,1
14014,15280,82399,11
14435,14566,82394,7
13777,15374,80722,4
15013,15448,81990,5
15010,15012,82370,6
15474,14844,82366,1
13793,14606,81374,2
14945,14426,82595,1
15085,14458,103544,4
15358,15310,103561,2
13772,15478,103582,2
14033,14543,103398,2
15019,15360,103618,4
13551,14306,103579,1
14109,15420,103621,1
15016,15112,109692,4
13624,14955,129207,1
13483,15041,135484,1
14224,14596,133999,2
14918,14482,118707,1
15483,14784,122496,2
14164,14703,118708,3
14396,15026,101562,30
14319,15299,101224,25
14517,14639,100068,18
15241,15323,100014,8
13939,14379,103001,5
13609,15582,100056,3
15283,14477,81985,1
13758,14594,135486,2
15425,14405,126741,1
14924,14447,82211,1
14399,14443,100559,1
14603,15504,82398,2
14819,14471,118710,1
14573,15449,103349,2
14286,14423,13599,1
14543,15302,100025,1
15201,14606,103800,1
15498,14428,100011,2
13566,14551,102325,1
13916,14585,103307,15
15136,14919,101556,5
14169,14898,134302,3
13810,14774,101382,12
15060,15234,100337,11
13725,15220,102309,14
15287,14901,106401,2
13546,15162,135974,1
14301,15281,101377,11
14066,15323,100024,5
13556,14500,103118,3
15143,14740,200549,1
14743,14987,102074,9
15378,14789,100175,8
15304,14482,133863,1
13692,14505,137552,1
14624,15104,100774,2
14985,14579,100020,6
13953,14407,100001,3
14167,14955,135970,3
15219,15029,100159,16
13600,14829,102344,5
13821,14732,201344,1
13873,14644,82180,1
14572,14629,100332,9
13983,15129,101532,14
14172,14560,137548,1
15147,15005,100157,6
15247,15039,100344,6
14267,14672,200544,2
13856,15026,100500,7
15340,14455,100021,1
14237,15390,13672,1
13893,14499,204735,4
14922,14411,134296,1
15261,15383,202874,3
14978,14455,81968,1
13604,14570,101703,1
15311,14731,101699,3
14687,15431,101655,6
13966,14578,157194,2
13633,15024,150798,4
14658,15028,101711,3
15352,14565,100708,1
14360,15411,106406,1
14909,14515,106403,1
15383,15398,202667,1
14151,15010,202886,1
15302,15294,29356,1
13641,14997,133733,1
