0,45507,1,315,
1,46447,1,211,
2,47354,1,114,
3,47318,2,293,
4,47641,2,226,
5,48854,2,14,
6,45884,3,70,
7,48515,3,133,
8,48900,3,124,
9,48479,4,72,
10,48850,4,131,
11,46631,5,228,
12,49154,5,336,
13,49201,9,337,
14,46892,14,66,
15,45817,15,27,
16,45708,17,224,
17,47178,17,64,
18,47437,17,363,
19,48295,19,271,
20,48760,19,127,
21,48624,21,68,
22,47305,22,290,
23,48063,22,342,
24,43655,23,37,
25,48132,23,113,
26,48194,24,211,
27,46298,25,184,
28,47054,26,87,
29,48153,27,304,
30,44925,28,151,
31,45951,28,134,
32,47598,28,328,
33,47494,29,442,
34,47655,29,216,
35,49124,29,262,
36,46548,30,91,
37,46661,30,313,
38,44651,31,141,
39,45997,31,250,
40,49082,32,161,
41,49452,32,272,
42,46319,33,233,
43,47292,33,45,
44,47520,33,174,
45,48746,33,77,
46,44464,34,196,
47,46107,34,224,
48,48793,34,298,
49,47079,35,101,
50,47491,35,173,
51,46248,37,109,
52,47014,40,127,
53,42715,41,220,
54,44468,44,195,
55,46378,44,151,
56,48221,44,96,
57,43220,45,195,
58,47272,45,399,
59,46240,46,110,
60,46478,46,285,
61,46989,47,160,
62,47326,48,224,
63,49141,48,248,
64,47714,49,229,
65,49472,49,401,
66,48138,51,120,
67,47783,52,81,
68,45873,55,153,
69,47557,55,89,
70,47105,56,188,
71,48154,56,228,
72,49117,56,308,
73,47662,57,299,
74,49003,57,300,
75,47319,59,295,
76,48745,60,204,
77,47897,61,213,
78,49377,61,226,
79,45725,63,321,
80,46416,64,105,
81,47353,65,196,
82,46905,66,150,
83,46283,69,393,
84,48732,69,236,
85,47953,70,83,
86,48207,70,175,
87,46983,71,317,
88,48480,72,273,
89,46100,73,238,
90,45924,74,164,
91,43332,75,327,
92,49213,75,375,
93,46180,76,193,
94,63304,76,259,
95,46565,77,251,
96,47570,77,393,
97,49394,78,253,
98,45347,79,116,
99,46152,79,391,
100,46804,81,146,
101,46376,82,204,
102,42642,84,320,
103,48720,85,162,
104,49436,85,258,
105,43186,87,195,
106,45713,87,407,
107,48516,87,269,
108,45929,88,272,
109,48323,90,212,
110,44807,91,248,
111,49184,94,360,
112,47184,95,161,
113,49395,95,173,
114,46122,96,166,
115,46517,96,329,
116,46965,96,482,
117,44223,97,178,
118,46886,97,169,
119,48263,98,421,
120,49090,99,368,
121,46519,100,235,
122,48617,100,325,
123,48694,100,255,
124,48863,100,483,
125,45550,101,277,
126,46526,103,319,
127,47578,103,665,
128,48574,103,366,
129,48634,105,178,
130,48763,105,662,
131,42740,107,229,
132,45463,107,324,
133,69652,107,316,
134,45860,109,229,
135,49250,109,338,
136,55815,109,401,
137,47942,110,121,
138,45483,111,403,
139,47676,111,336,
140,46186,112,425,
141,45836,113,174,
142,47552,119,740,
143,48908,119,398,
144,42628,121,408,
145,47946,122,185,
146,43825,123,323,
147,47209,123,751,
148,44009,124,298,
149,49174,125,407,
150,46369,126,336,
151,46333,129,208,
152,48435,129,346,
