Iteration,Mean,Stdev,Run-0
0,3.136079613087969E-4,0.0,3.136079613087969E-4
1,3.136079613087969E-4,0.0,3.136079613087969E-4
2,3.136079613087969E-4,0.0,3.136079613087969E-4
3,3.136079613087969E-4,0.0,3.136079613087969E-4
4,3.136079613087969E-4,0.0,3.136079613087969E-4
5,3.136079613087969E-4,0.0,3.136079613087969E-4
6,3.136079613087969E-4,0.0,3.136079613087969E-4
7,3.136079613087969E-4,0.0,3.136079613087969E-4
8,3.136079613087969E-4,0.0,3.136079613087969E-4
9,3.136079613087969E-4,0.0,3.136079613087969E-4
