Iteration,Mean,Stdev,Run-0
0,2.850317329825711E-12,0.0,2.850317329825711E-12
1,2.850317329825711E-12,0.0,2.850317329825711E-12
2,2.850317329825711E-12,0.0,2.850317329825711E-12
3,2.850317329825711E-12,0.0,2.850317329825711E-12
4,2.850317329825711E-12,0.0,2.850317329825711E-12
5,2.850317329825711E-12,0.0,2.850317329825711E-12
6,2.850317329825711E-12,0.0,2.850317329825711E-12
7,2.850317329825711E-12,0.0,2.850317329825711E-12
8,2.850317329825711E-12,0.0,2.850317329825711E-12
9,2.850317329825711E-12,0.0,2.850317329825711E-12
